"Date","Price","Open","High","Low","Vol.","Change %"
"16-01-2022","95.60","94.37","99.00","93.83","77.74M","-0.62%"
"09-01-2022","96.20","93.33","97.07","93.30","45.87M","3.40%"
"02-01-2022","93.03","86.33","93.33","86.20","66.16M","8.01%"
"26-12-2021","86.13","87.23","89.00","85.00","54.87M","-1.26%"
"19-12-2021","87.23","86.33","89.43","83.47","66.08M","1.04%"
"12-12-2021","86.33","91.20","91.50","85.10","90.94M","-4.39%"
"05-12-2021","90.30","88.30","90.67","84.57","78.61M","2.42%"
"28-11-2021","88.17","89.07","89.80","85.17","90.13M","-1.01%"
"21-11-2021","89.07","94.00","95.47","88.70","72.47M","-5.21%"
"14-11-2021","93.97","98.57","99.33","93.57","40.69M","-4.76%"
"07-11-2021","98.67","101.67","102.10","98.33","99.69M","-2.31%"
"31-10-2021","101.00","101.67","103.20","99.33","72.15M","1.78%"
"24-10-2021","99.23","101.03","104.17","97.00","97.02M","-1.10%"
"17-10-2021","100.33","107.33","109.20","99.07","87.99M","-5.97%"
"10-10-2021","106.70","105.93","109.13","104.70","65.81M","1.20%"
"03-10-2021","105.43","109.60","114.20","105.10","152.34M","-3.07%"
"26-09-2021","108.77","103.33","110.80","101.33","213.29M","6.91%"
"19-09-2021","101.73","101.33","103.77","96.67","85.31M","-0.97%"
"12-09-2021","102.73","97.30","106.50","96.30","141.55M","6.17%"
"05-09-2021","96.77","99.33","99.73","96.00","51.14M","-1.53%"
"29-08-2021","98.27","95.57","99.57","95.57","90.18M","2.72%"
"22-08-2021","95.67","95.07","98.67","93.33","88.82M","2.24%"
"15-08-2021","93.57","98.97","99.50","93.33","44.25M","-5.42%"
"08-08-2021","98.93","100.13","101.27","95.87","94.47M","-0.24%"
"01-08-2021","99.17","93.97","102.63","92.90","163.61M","6.59%"
"25-07-2021","93.03","94.67","94.73","91.07","72.82M","-2.00%"
"18-07-2021","94.93","96.53","98.67","93.83","61.78M","-1.66%"
"11-07-2021","96.53","99.00","100.93","95.33","81.98M","-1.60%"
"04-07-2021","98.10","101.53","103.40","98.00","64.32M","-2.74%"
"27-06-2021","100.87","103.07","103.43","99.50","65.95M","-1.18%"
"20-06-2021","102.07","102.00","105.80","100.83","66.40M","-1.26%"
"13-06-2021","103.37","109.60","110.80","101.73","108.34M","-5.31%"
"06-06-2021","109.17","108.33","113.53","105.53","208.20M","1.08%"
"30-05-2021","108.00","102.67","109.83","102.13","152.33M","5.92%"
"23-05-2021","101.97","97.67","104.93","97.27","121.53M","4.94%"
"16-05-2021","97.17","102.67","105.33","96.87","104.57M","-4.55%"
"09-05-2021","101.80","100.17","110.50","100.17","149.50M","1.63%"
"02-05-2021","100.17","90.73","101.77","89.77","159.01M","9.51%"
"25-04-2021","91.47","87.13","94.30","86.50","83.04M","6.03%"
"18-04-2021","86.27","90.00","93.17","85.67","97.77M","-7.31%"
"11-04-2021","93.07","89.60","94.93","87.03","91.61M","0.58%"
"04-04-2021","92.53","92.67","94.57","89.40","114.90M","-0.96%"
"28-03-2021","93.43","89.27","93.97","87.20","183.23M","6.33%"
"21-03-2021","87.87","93.33","93.33","84.97","122.84M","-4.84%"
"14-03-2021","92.33","98.53","98.53","85.87","170.38M","-5.69%"
"07-03-2021","97.90","98.93","105.30","97.10","180.66M","-0.20%"
"28-02-2021","98.10","96.07","100.00","95.00","151.32M","3.77%"
"21-02-2021","94.53","96.67","101.87","93.60","222.90M","-2.48%"
"14-02-2021","96.93","89.30","99.63","87.90","357.09M","9.41%"
"07-02-2021","88.60","86.60","92.00","86.10","197.60M","3.67%"
"31-01-2021","85.47","82.83","90.17","82.83","139.48M","2.32%"
"24-01-2021","83.53","90.00","91.30","82.87","130.56M","-6.53%"
"17-01-2021","89.37","93.87","94.67","88.37","183.91M","-3.21%"
"10-01-2021","92.33","89.33","97.47","88.03","275.33M","4.33%"
"03-01-2021","88.50","83.20","90.67","83.10","196.44M","7.36%"
"27-12-2020","82.43","80.77","83.07","80.37","95.66M","2.91%"
"20-12-2020","80.10","83.33","83.33","75.03","161.03M","-3.92%"
"13-12-2020","83.37","84.67","85.47","80.80","141.36M","-0.64%"
"06-12-2020","83.90","80.50","85.87","79.57","203.79M","5.05%"
"29-11-2020","79.87","69.10","81.33","68.73","416.74M","16.71%"
"22-11-2020","68.43","66.00","71.13","65.07","196.53M","5.34%"
"15-11-2020","64.97","62.67","65.30","61.80","108.35M","5.01%"
"08-11-2020","61.87","57.47","62.93","57.10","143.55M","8.16%"
"01-11-2020","57.20","56.73","58.63","55.37","92.25M","1.24%"
"25-10-2020","56.50","58.43","58.53","54.77","82.30M","-2.92%"
"18-10-2020","58.20","56.13","59.57","56.00","114.67M","3.93%"
"11-10-2020","56.00","57.60","57.67","54.13","81.41M","-1.98%"
"04-10-2020","57.13","59.00","59.87","55.53","96.86M","-3.05%"
"27-09-2020","58.93","57.70","59.40","57.00","58.87M","3.76%"
"20-09-2020","56.80","61.47","61.47","54.63","125.71M","-7.49%"
"13-09-2020","61.40","61.27","62.43","60.33","95.22M","1.49%"
"06-09-2020","60.50","65.33","65.90","59.87","104.47M","-7.45%"
"30-08-2020","65.37","66.60","67.67","62.67","110.98M","-1.06%"
"23-08-2020","66.07","68.00","68.80","65.87","69.97M","-2.60%"
"16-08-2020","67.83","64.10","68.77","63.73","137.24M","6.04%"
"09-08-2020","63.97","64.83","66.40","63.77","96.05M","-0.98%"
"02-08-2020","64.60","64.60","64.93","61.90","98.67M","0.26%"
"26-07-2020","64.43","66.80","67.17","64.17","64.92M","-2.91%"
"19-07-2020","66.37","67.80","70.00","65.87","93.55M","-1.29%"
"12-07-2020","67.23","69.30","69.30","62.97","78.98M","-1.51%"
"05-07-2020","68.27","69.27","71.67","67.80","127.55M","-2.38%"
"28-06-2020","69.93","70.03","70.67","66.83","94.00M","-0.24%"
"21-06-2020","70.10","66.60","71.33","65.20","203.93M","5.68%"
"14-06-2020","66.33","64.20","67.93","63.00","139.00M","3.27%"
"07-06-2020","64.23","66.30","70.87","60.83","236.38M","-1.53%"
"31-05-2020","65.23","62.63","66.23","60.60","109.46M","5.95%"
"24-05-2020","61.57","58.13","62.50","57.43","78.07M","5.91%"
"17-05-2020","58.13","57.40","58.80","53.67","103.95M","1.63%"
"10-05-2020","57.20","61.33","63.07","56.50","91.42M","-6.08%"
"03-05-2020","60.90","61.47","64.17","59.73","110.09M","-4.55%"
"26-04-2020","63.80","55.07","64.37","54.17","116.35M","17.42%"
"19-04-2020","54.33","60.67","60.67","52.47","130.97M","-9.14%"
"12-04-2020","59.80","59.13","61.30","55.87","69.35M","2.22%"
"05-04-2020","58.50","56.00","63.30","55.03","91.60M","8.47%"
"29-03-2020","53.93","46.27","54.67","45.03","118.02M","16.40%"
"22-03-2020","46.33","49.33","55.00","46.07","128.93M","-13.99%"
"15-03-2020","53.87","54.67","55.07","43.73","182.28M","-4.44%"
"08-03-2020","56.37","69.07","69.90","43.33","196.53M","-21.57%"
"01-03-2020","71.87","70.67","74.17","65.80","135.97M","3.26%"
"23-02-2020","69.60","79.00","79.53","68.00","115.91M","-12.49%"
"16-02-2020","79.53","81.33","81.33","77.83","71.69M","-2.65%"
"09-02-2020","81.70","82.73","88.33","79.50","177.99M","-0.37%"
"02-02-2020","82.00","81.00","83.07","76.00","95.80M","2.12%"
"26-01-2020","80.30","86.00","86.33","79.60","69.24M","-6.99%"
"19-01-2020","86.33","84.00","87.80","83.03","80.00M","2.49%"
"12-01-2020","84.23","83.93","88.90","81.83","111.95M","0.80%"
"05-01-2020","83.57","83.33","85.17","81.83","53.93M","-0.24%"
"29-12-2019","83.77","79.03","85.87","78.90","78.44M","5.99%"
"22-12-2019","79.03","79.13","81.13","78.40","49.10M","-0.84%"
"15-12-2019","79.70","79.87","81.60","77.03","73.26M","-0.21%"
"08-12-2019","79.87","78.53","80.60","73.63","106.74M","2.26%"
"01-12-2019","78.10","85.23","85.23","77.23","68.42M","-7.06%"
"24-11-2019","84.03","82.00","85.63","81.00","88.69M","3.02%"
"17-11-2019","81.57","82.47","83.87","80.70","65.36M","-1.57%"
"10-11-2019","82.87","84.60","87.20","79.73","96.92M","-2.16%"
"03-11-2019","84.70","90.97","93.17","83.93","79.96M","-5.99%"
"27-10-2019","90.10","82.67","93.07","81.73","83.50M","9.83%"
"20-10-2019","82.03","86.37","87.30","81.57","50.09M","-5.02%"
"13-10-2019","86.37","83.67","86.93","82.37","72.31M","3.68%"
"06-10-2019","83.30","88.00","88.47","83.03","51.50M","-5.45%"
"29-09-2019","88.10","89.87","91.00","86.53","52.23M","-1.49%"
"22-09-2019","89.43","92.67","99.17","88.33","79.00M","-0.41%"
"15-09-2019","89.80","86.93","91.30","85.73","114.71M","4.22%"
"08-09-2019","86.17","87.77","88.47","82.43","46.75M","-1.60%"
"01-09-2019","87.57","85.70","88.17","83.37","46.63M","1.19%"
"25-08-2019","86.53","84.53","89.07","82.13","79.50M","4.34%"
"18-08-2019","82.93","86.97","87.27","79.67","64.03M","-4.05%"
"11-08-2019","86.43","83.23","87.63","82.67","70.54M","4.68%"
"04-08-2019","82.57","84.07","84.37","79.73","58.18M","-2.98%"
"28-07-2019","85.10","88.80","89.70","82.53","52.95M","-3.99%"
"21-07-2019","88.63","91.13","93.87","88.27","47.40M","-3.38%"
"14-07-2019","91.73","98.00","98.67","91.40","56.30M","-6.17%"
"07-07-2019","97.77","101.82","101.83","96.20","57.59M","-4.28%"
