Date,Price,Open,High,Low,Vol.,Change %,date
2017-08-06,92.24,95.18,97.38,88.94,58.85M,-2.33%,2017-08-06
2017-08-13,95.31,93.46,96.18,92.45,37.10M,3.33%,2017-08-13
2017-08-20,95.75,95.48,97.63,93.0,53.06M,0.46%,2017-08-20
2017-08-27,96.04,96.0,97.48,93.05,48.85M,0.30%,2017-08-27
2017-09-03,95.03,96.2,96.95,93.83,39.29M,-1.05%,2017-09-03
2017-09-10,99.96,96.0,103.75,96.0,116.96M,5.19%,2017-09-10
2017-09-17,99.64,100.61,106.59,98.94,98.40M,-0.32%,2017-09-17
2017-09-24,104.76,99.75,107.25,96.78,120.73M,5.14%,2017-09-24
2017-10-01,113.18,106.38,114.29,105.5,99.25M,8.04%,2017-10-01
2017-10-08,109.38,113.25,114.36,109.0,70.52M,-3.36%,2017-10-08
2017-10-15,108.31,109.13,111.15,107.81,39.27M,-0.98%,2017-10-15
2017-10-22,117.78,108.63,118.98,108.25,108.04M,8.74%,2017-10-22
2017-10-29,115.96,117.53,119.84,115.51,53.86M,-1.55%,2017-10-29
2017-11-05,114.28,115.75,119.41,112.0,63.08M,-1.45%,2017-11-05
2017-11-12,111.19,114.53,116.0,110.26,83.39M,-2.70%,2017-11-12
2017-11-19,117.76,111.0,118.09,110.86,71.46M,5.91%,2017-11-19
2017-11-26,113.95,116.63,118.35,112.33,63.83M,-3.24%,2017-11-26
2017-12-03,120.63,113.95,124.98,112.45,106.41M,5.86%,2017-12-03
2017-12-10,121.41,121.71,125.7,119.29,93.35M,0.65%,2017-12-10
2017-12-17,125.78,121.98,127.38,118.96,75.85M,3.60%,2017-12-17
2017-12-24,124.91,127.03,129.88,124.21,88.38M,-0.69%,2017-12-24
2017-12-31,123.6,125.7,126.19,122.13,34.54M,-1.05%,2017-12-31
2018-01-07,125.29,125.0,126.66,123.13,42.90M,1.37%,2018-01-07
2018-01-14,117.19,125.34,125.69,114.91,59.42M,-6.47%,2018-01-14
2018-01-21,123.44,117.51,124.75,111.78,118.71M,5.33%,2018-01-21
2018-01-28,116.61,123.11,124.7,115.4,70.57M,-5.53%,2018-01-28
2018-02-04,115.61,115.0,118.0,109.76,63.44M,-0.86%,2018-02-04
2018-02-11,117.08,117.0,119.78,114.78,40.70M,1.27%,2018-02-11
2018-02-18,114.6,117.5,118.4,113.14,55.51M,-2.11%,2018-02-18
2018-02-25,113.56,115.0,118.59,112.89,48.18M,-0.91%,2018-02-25
2018-03-04,109.23,113.0,113.24,108.31,48.74M,-3.82%,2018-03-04
2018-03-11,110.25,109.68,115.91,109.5,47.99M,0.94%,2018-03-11
2018-03-18,109.9,111.73,112.0,107.4,79.43M,-0.32%,2018-03-18
2018-03-25,109.52,110.0,110.55,103.03,97.17M,-0.35%,2018-03-25
2018-04-01,111.42,110.33,113.0,106.83,40.30M,1.73%,2018-04-01
2018-04-08,108.95,111.37,111.85,107.43,35.59M,-2.21%,2018-04-08
2018-04-15,110.18,108.67,114.25,107.02,37.01M,1.13%,2018-04-15
2018-04-22,110.27,110.9,113.27,107.0,45.87M,0.08%,2018-04-22
2018-04-29,109.92,110.27,111.17,106.68,39.65M,-0.32%,2018-04-29
2018-05-06,114.2,110.07,116.2,108.93,55.39M,3.90%,2018-05-06
2018-05-13,107.17,114.33,117.15,106.73,76.25M,-6.16%,2018-05-13
2018-05-20,106.38,107.77,109.78,99.58,85.91M,-0.73%,2018-05-20
2018-05-27,113.78,107.5,117.68,107.5,79.57M,6.96%,2018-05-27
2018-06-03,114.13,114.2,115.7,109.38,45.74M,0.31%,2018-06-03
2018-06-10,111.63,114.43,115.43,111.08,41.31M,-2.19%,2018-06-10
2018-06-17,113.33,111.6,115.18,111.0,70.17M,1.52%,2018-06-17
2018-06-24,113.42,113.9,116.27,105.18,82.40M,0.07%,2018-06-24
2018-07-01,114.73,113.45,118.13,110.88,63.17M,1.16%,2018-07-01
2018-07-08,118.95,114.7,122.0,114.13,64.11M,3.68%,2018-07-08
2018-07-15,119.93,118.93,122.12,116.77,40.10M,0.83%,2018-07-15
2018-07-22,126.17,120.47,126.6,118.47,67.34M,5.20%,2018-07-22
2018-07-29,129.4,126.67,129.93,122.78,53.03M,2.56%,2018-07-29
2018-08-05,120.98,130.0,130.67,117.9,60.38M,-6.50%,2018-08-05
2018-08-12,129.23,121.32,133.13,121.0,104.79M,6.82%,2018-08-12
2018-08-19,126.88,130.03,130.67,125.0,49.95M,-1.82%,2018-08-19
2018-08-26,124.07,128.05,131.62,120.93,101.27M,-2.22%,2018-08-26
2018-09-02,125.73,125.27,126.53,118.05,60.70M,1.34%,2018-09-02
2018-09-09,123.32,125.67,127.32,122.6,53.18M,-1.92%,2018-09-09
2018-09-16,130.05,123.27,131.52,122.03,69.85M,5.46%,2018-09-16
2018-09-23,126.33,130.0,131.02,121.18,103.32M,-2.86%,2018-09-23
2018-09-30,110.68,127.27,128.92,98.42,105.60M,-12.39%,2018-09-30
2018-10-07,119.77,110.02,120.33,109.0,78.36M,8.21%,2018-10-07
2018-10-14,114.77,119.63,121.42,113.83,49.33M,-4.17%,2018-10-14
2018-10-21,113.78,115.88,117.75,111.28,129.54M,-0.86%,2018-10-21
2018-10-28,123.25,114.57,125.47,113.23,89.22M,8.32%,2018-10-28
2018-11-04,122.45,123.97,127.33,121.4,56.08M,-0.65%,2018-11-04
2018-11-11,114.07,123.0,124.17,113.75,68.08M,-6.85%,2018-11-11
2018-11-18,114.92,114.17,116.67,110.07,57.71M,0.75%,2018-11-18
2018-11-25,114.35,115.8,117.82,112.0,94.45M,-0.49%,2018-11-25
2018-12-02,111.57,113.67,119.93,110.27,76.63M,-2.43%,2018-12-02
2018-12-09,117.08,110.93,117.73,109.33,63.16M,4.94%,2018-12-09
2018-12-16,115.02,117.1,119.8,114.7,44.23M,-1.77%,2018-12-16
2018-12-23,118.77,115.03,121.17,113.28,79.70M,3.26%,2018-12-23
2018-12-30,117.72,119.2,121.33,115.65,37.68M,-0.88%,2018-12-30
2019-01-06,112.87,117.83,119.72,112.4,46.63M,-4.12%,2019-01-06
2019-01-13,107.38,112.67,112.77,106.83,78.99M,-4.86%,2019-01-13
2019-01-20,111.63,107.67,112.5,106.82,54.42M,3.96%,2019-01-20
2019-01-27,111.17,111.52,111.78,106.55,91.37M,-0.42%,2019-01-27
2019-02-03,112.12,110.38,114.23,108.52,47.69M,0.85%,2019-02-03
2019-02-10,105.92,111.43,111.8,102.27,69.35M,-5.53%,2019-02-10
2019-02-17,109.05,106.18,112.2,103.58,67.93M,2.96%,2019-02-17
2019-02-24,114.62,108.7,116.43,107.22,117.64M,5.10%,2019-02-24
2019-03-03,116.55,114.33,117.0,113.75,35.69M,1.69%,2019-03-03
2019-03-10,119.78,116.77,120.67,115.65,66.46M,2.77%,2019-03-10
2019-03-17,116.32,120.67,122.17,115.77,40.84M,-2.89%,2019-03-17
2019-03-24,115.88,116.23,121.0,114.33,63.81M,-0.37%,2019-03-24
2019-03-31,116.27,117.33,121.62,114.53,59.54M,0.33%,2019-03-31
2019-04-07,118.92,116.67,119.82,112.03,66.46M,2.28%,2019-04-07
2019-04-14,117.32,118.83,119.43,116.17,25.59M,-1.35%,2019-04-14
2019-04-21,117.8,117.1,118.43,110.57,70.10M,0.41%,2019-04-21
2019-04-28,115.15,117.08,118.95,114.13,33.23M,-2.25%,2019-04-28
2019-05-05,113.85,113.98,118.98,111.02,48.28M,-1.13%,2019-05-05
2019-05-12,111.02,113.85,118.43,108.9,45.91M,-2.49%,2019-05-12
2019-05-19,113.88,113.33,116.93,111.4,37.04M,2.58%,2019-05-19
2019-05-26,120.33,114.33,121.03,113.92,117.30M,5.66%,2019-05-26
2019-06-02,104.62,120.97,121.8,102.57,139.86M,-13.06%,2019-06-02
2019-06-09,102.83,106.33,106.67,100.95,92.74M,-1.70%,2019-06-09
2019-06-16,103.87,103.0,104.63,100.87,59.82M,1.00%,2019-06-16
2019-06-23,103.98,103.98,104.42,101.42,71.51M,0.11%,2019-06-23
2019-06-30,102.13,103.32,104.92,101.42,74.21M,-1.78%,2019-06-30
2019-07-07,97.77,101.82,101.83,96.2,57.59M,-4.28%,2019-07-07
2019-07-14,91.73,98.0,98.67,91.4,56.30M,-6.17%,2019-07-14
2019-07-21,88.63,91.13,93.87,88.27,47.40M,-3.38%,2019-07-21
2019-07-28,85.1,88.8,89.7,82.53,52.95M,-3.99%,2019-07-28
2019-08-04,82.57,84.07,84.37,79.73,58.18M,-2.98%,2019-08-04
2019-08-11,86.43,83.23,87.63,82.67,70.54M,4.68%,2019-08-11
2019-08-18,82.93,86.97,87.27,79.67,64.03M,-4.05%,2019-08-18
2019-08-25,86.53,84.53,89.07,82.13,79.50M,4.34%,2019-08-25
2019-09-01,87.57,85.7,88.17,83.37,46.63M,1.19%,2019-09-01
2019-09-08,86.17,87.77,88.47,82.43,46.75M,-1.60%,2019-09-08
2019-09-15,89.8,86.93,91.3,85.73,114.71M,4.22%,2019-09-15
2019-09-22,89.43,92.67,99.17,88.33,79.00M,-0.41%,2019-09-22
2019-09-29,88.1,89.87,91.0,86.53,52.23M,-1.49%,2019-09-29
2019-10-06,83.3,88.0,88.47,83.03,51.50M,-5.45%,2019-10-06
2019-10-13,86.37,83.67,86.93,82.37,72.31M,3.68%,2019-10-13
2019-10-20,82.03,86.37,87.3,81.57,50.09M,-5.02%,2019-10-20
2019-10-27,90.1,82.67,93.07,81.73,83.50M,9.83%,2019-10-27
2019-11-03,84.7,90.97,93.17,83.93,79.96M,-5.99%,2019-11-03
2019-11-10,82.87,84.6,87.2,79.73,96.92M,-2.16%,2019-11-10
2019-11-17,81.57,82.47,83.87,80.7,65.36M,-1.57%,2019-11-17
2019-11-24,84.03,82.0,85.63,81.0,88.69M,3.02%,2019-11-24
2019-12-01,78.1,85.23,85.23,77.23,68.42M,-7.06%,2019-12-01
2019-12-08,79.87,78.53,80.6,73.63,106.74M,2.26%,2019-12-08
2019-12-15,79.7,79.87,81.6,77.03,73.26M,-0.21%,2019-12-15
2019-12-22,79.03,79.13,81.13,78.4,49.10M,-0.84%,2019-12-22
2019-12-29,83.77,79.03,85.87,78.9,78.44M,5.99%,2019-12-29
2020-01-05,83.57,83.33,85.17,81.83,53.93M,-0.24%,2020-01-05
2020-01-12,84.23,83.93,88.9,81.83,111.95M,0.80%,2020-01-12
2020-01-19,86.33,84.0,87.8,83.03,80.00M,2.49%,2020-01-19
2020-01-26,80.3,86.0,86.33,79.6,69.24M,-6.99%,2020-01-26
2020-02-02,82.0,81.0,83.07,76.0,95.80M,2.12%,2020-02-02
2020-02-09,81.7,82.73,88.33,79.5,177.99M,-0.37%,2020-02-09
2020-02-16,79.53,81.33,81.33,77.83,71.69M,-2.65%,2020-02-16
2020-02-23,69.6,79.0,79.53,68.0,115.91M,-12.49%,2020-02-23
2020-03-01,71.87,70.67,74.17,65.8,135.97M,3.26%,2020-03-01
2020-03-08,56.37,69.07,69.9,43.33,196.53M,-21.57%,2020-03-08
2020-03-15,53.87,54.67,55.07,43.73,182.28M,-4.44%,2020-03-15
2020-03-22,46.33,49.33,55.0,46.07,128.93M,-13.99%,2020-03-22
2020-03-29,53.93,46.27,54.67,45.03,118.02M,16.40%,2020-03-29
2020-04-05,58.5,56.0,63.3,55.03,91.60M,8.47%,2020-04-05
2020-04-12,59.8,59.13,61.3,55.87,69.35M,2.22%,2020-04-12
2020-04-19,54.33,60.67,60.67,52.47,130.97M,-9.14%,2020-04-19
2020-04-26,63.8,55.07,64.37,54.17,116.35M,17.42%,2020-04-26
2020-05-03,60.9,61.47,64.17,59.73,110.09M,-4.55%,2020-05-03
2020-05-10,57.2,61.33,63.07,56.5,91.42M,-6.08%,2020-05-10
2020-05-17,58.13,57.4,58.8,53.67,103.95M,1.63%,2020-05-17
2020-05-24,61.57,58.13,62.5,57.43,78.07M,5.91%,2020-05-24
2020-05-31,65.23,62.63,66.23,60.6,109.46M,5.95%,2020-05-31
2020-06-07,64.23,66.3,70.87,60.83,236.38M,-1.53%,2020-06-07
2020-06-14,66.33,64.2,67.93,63.0,139.00M,3.27%,2020-06-14
2020-06-21,70.1,66.6,71.33,65.2,203.93M,5.68%,2020-06-21
2020-06-28,69.93,70.03,70.67,66.83,94.00M,-0.24%,2020-06-28
2020-07-05,68.27,69.27,71.67,67.8,127.55M,-2.38%,2020-07-05
2020-07-12,67.23,69.3,69.3,62.97,78.98M,-1.51%,2020-07-12
2020-07-19,66.37,67.8,70.0,65.87,93.55M,-1.29%,2020-07-19
2020-07-26,64.43,66.8,67.17,64.17,64.92M,-2.91%,2020-07-26
2020-08-02,64.6,64.6,64.93,61.9,98.67M,0.26%,2020-08-02
2020-08-09,63.97,64.83,66.4,63.77,96.05M,-0.98%,2020-08-09
2020-08-16,67.83,64.1,68.77,63.73,137.24M,6.04%,2020-08-16
2020-08-23,66.07,68.0,68.8,65.87,69.97M,-2.60%,2020-08-23
2020-08-30,65.37,66.6,67.67,62.67,110.98M,-1.06%,2020-08-30
2020-09-06,60.5,65.33,65.9,59.87,104.47M,-7.45%,2020-09-06
2020-09-13,61.4,61.27,62.43,60.33,95.22M,1.49%,2020-09-13
2020-09-20,56.8,61.47,61.47,54.63,125.71M,-7.49%,2020-09-20
2020-09-27,58.93,57.7,59.4,57.0,58.87M,3.76%,2020-09-27
2020-10-04,57.13,59.0,59.87,55.53,96.86M,-3.05%,2020-10-04
2020-10-11,56.0,57.6,57.67,54.13,81.41M,-1.98%,2020-10-11
2020-10-18,58.2,56.13,59.57,56.0,114.67M,3.93%,2020-10-18
2020-10-25,56.5,58.43,58.53,54.77,82.30M,-2.92%,2020-10-25
2020-11-01,57.2,56.73,58.63,55.37,92.25M,1.24%,2020-11-01
2020-11-08,61.87,57.47,62.93,57.1,143.55M,8.16%,2020-11-08
2020-11-15,64.97,62.67,65.3,61.8,108.35M,5.01%,2020-11-15
2020-11-22,68.43,66.0,71.13,65.07,196.53M,5.34%,2020-11-22
2020-11-29,79.87,69.1,81.33,68.73,416.74M,16.71%,2020-11-29
2020-12-06,83.9,80.5,85.87,79.57,203.79M,5.05%,2020-12-06
2020-12-13,83.37,84.67,85.47,80.8,141.36M,-0.64%,2020-12-13
2020-12-20,80.1,83.33,83.33,75.03,161.03M,-3.92%,2020-12-20
2020-12-27,82.43,80.77,83.07,80.37,95.66M,2.91%,2020-12-27
2021-01-03,88.5,83.2,90.67,83.1,196.44M,7.36%,2021-01-03
2021-01-10,92.33,89.33,97.47,88.03,275.33M,4.33%,2021-01-10
2021-01-17,89.37,93.87,94.67,88.37,183.91M,-3.21%,2021-01-17
2021-01-24,83.53,90.0,91.3,82.87,130.56M,-6.53%,2021-01-24
